Företagsnamn,Organisationsnummer,Omsättning,Antal Anställda,Bransch,Stad,E-post
Företag 2420 AB,733372-9694,36157472.72,411,Bygg,Göteborg,kontakt@företag2420ab.se
Företag 2421 AB,715267-7740,15731110.85,39,Bygg,Malmö,kontakt@företag2421ab.se
Företag 2422 AB,110328-8706,28305068.7,325,IT,Stockholm,kontakt@företag2422ab.se
Företag 2423 AB,558342-5234,39160865.27,78,Utbildning,Malmö,fel@epost
Företag 2424 AB,471388-7651,38617299.25,479,Bygg,Västerås,kontakt@företag2424ab.se
Företag 2425 AB,287513-8040,15461985.58,203,Handel,Göteborg,fel@epost
Företag 2426 AB,648911-6228,12155261.72,29,Bygg,Uppsala,kontakt@företag2426ab.se
Företag 2427 AB,633465-9429,7711883.88,164,Bygg,Stockholm,kontakt@företag2427ab.se
Företag 2428 AB,126168-2910,47255160.05,173,IT,Västerås,kontakt@företag2428ab.se
Företag 2429 AB,334335-6642,16937363.91,270,Handel,Malmö,kontakt@företag2429ab.se
Företag 2430 AB,250189-7068,5047092.74,151,Hälsa,Västerås,fel@epost
Företag 2431 AB,990082-1063,36040591.93,349,Hälsa,Göteborg,kontakt@företag2431ab.se
Företag 2432 AB,106911-933X,25955977.83,201,Finans,Göteborg,kontakt@företag2432ab.se
Företag 2433 AB,127704-1607,49208458.07,300,Hälsa,Örebro,kontakt@företag2433ab.se
Företag 2434 AB,729996-2964,43440155.15,53,Handel,Uppsala,kontakt@företag2434ab.se
Företag 2435 AB,809858-4636,49326400.93,351,Transport,Malmö,kontakt@företag2435ab.se
Företag 2436 AB,849374-6629,24210893.41,336,Transport,Västerås,kontakt@företag2436ab.se
Företag 2437 AB,741196-8630,18336633.58,119,Bygg,Malmö,kontakt@företag2437ab.se
Företag 2438 AB,779160-227X,4779686.28,345,Transport,Malmö,kontakt@företag2438ab.se
Företag 2439 AB,163603-5207,15109395.59,80,Transport,Uppsala,kontakt@företag2439ab.se
Företag 2440 AB,707753-1171,47399234.65,453,Bygg,Västerås,kontakt@företag2440ab.se
Företag 2441 AB,854836-9544,38328101.76,147,Bygg,Stockholm,kontakt@företag2441ab.se
Företag 2442 AB,777802-9430,5912996.59,56,Transport,Stockholm,kontakt@företag2442ab.se
Företag 2443 AB,479564-5960,48761637.39,301,Utbildning,Västerås,kontakt@företag2443ab.se
Företag 2444 AB,178779-9086,6114273.94,234,Transport,Göteborg,fel@epost
Företag 2445 AB,260866-6650,42190021.16,62,Handel,Linköping,kontakt@företag2445ab.se
Företag 2446 AB,756123-5796,42208015.29,37,Bygg,Linköping,kontakt@företag2446ab.se
Företag 2447 AB,537115-4446,13721077.14,215,Utbildning,Stockholm,kontakt@företag2447ab.se
Företag 2448 AB,315146-6080,26222060.7,54,Hälsa,Uppsala,fel@epost
Företag 2449 AB,104810-645X,6013992.87,296,Handel,Örebro,kontakt@företag2449ab.se
Företag 2450 AB,782713-9273,9799372.9,222,Bygg,Malmö,kontakt@företag2450ab.se
Företag 2451 AB,624593-4372,44210590.52,215,IT,Stockholm,kontakt@företag2451ab.se
Företag 2452 AB,266586-693X,27323373.95,319,Finans,Malmö,kontakt@företag2452ab.se
Företag 2453 AB,608418-365X,39468446.51,418,IT,Linköping,kontakt@företag2453ab.se
Företag 2454 AB,651456-7506,21564201.29,436,Transport,Örebro,kontakt@företag2454ab.se
Företag 2455 AB,920985-6388,38896721.78,342,Handel,Malmö,kontakt@företag2455ab.se
Företag 2456 AB,124813-4449,46213583.14,346,Hälsa,Linköping,kontakt@företag2456ab.se
Företag 2457 AB,528255-5770,12453170.81,373,Transport,Göteborg,kontakt@företag2457ab.se
Företag 2458 AB,237942-4146,29589090.38,225,IT,Örebro,kontakt@företag2458ab.se
Företag 2459 AB,880412-6273,19477630.69,110,Hälsa,Västerås,kontakt@företag2459ab.se
Företag 2460 AB,916984-3786,25969613.82,189,Utbildning,Malmö,kontakt@företag2460ab.se
Företag 2461 AB,628006-5706,9814616.1,457,Transport,Linköping,kontakt@företag2461ab.se
Företag 2462 AB,486298-807X,2665730.13,427,Transport,Uppsala,kontakt@företag2462ab.se
Företag 2463 AB,877283-5207,13616549.94,261,Bygg,Uppsala,kontakt@företag2463ab.se
Företag 2464 AB,571141-7773,1658259.63,439,Handel,Örebro,fel@epost
Företag 2465 AB,753467-3717,4107765.43,239,Handel,Göteborg,kontakt@företag2465ab.se
Företag 2466 AB,800129-4164,22593234.74,419,Utbildning,Linköping,kontakt@företag2466ab.se
Företag 2467 AB,970958-5074,24806097.89,354,Utbildning,Malmö,kontakt@företag2467ab.se
Företag 2468 AB,910374-9371,7542315.41,244,Bygg,Örebro,kontakt@företag2468ab.se
Företag 2469 AB,599325-1544,42705469.59,457,Bygg,Uppsala,kontakt@företag2469ab.se
Företag 2470 AB,555778-8425,12909484.54,320,Hälsa,Örebro,kontakt@företag2470ab.se
Företag 2471 AB,134134-6545,16374946.73,190,Transport,Örebro,kontakt@företag2471ab.se
Företag 2472 AB,399503-3492,28664676.87,282,Handel,Västerås,kontakt@företag2472ab.se
Företag 2473 AB,961899-2202,49574185.29,263,Finans,Linköping,kontakt@företag2473ab.se
Företag 2474 AB,315369-7794,49873593.17,391,Handel,Västerås,kontakt@företag2474ab.se
Företag 2475 AB,596156-8082,35741345.16,164,Transport,Göteborg,kontakt@företag2475ab.se
Företag 2476 AB,439240-6860,28930077.62,253,Bygg,Stockholm,kontakt@företag2476ab.se
Företag 2477 AB,454052-1113,40310297.96,470,IT,Göteborg,kontakt@företag2477ab.se
Företag 2478 AB,198775-1825,28516007.38,13,Finans,Malmö,kontakt@företag2478ab.se
Företag 2479 AB,604612-8038,49554153.84,34,Hälsa,Linköping,kontakt@företag2479ab.se
Företag 2480 AB,259758-6922,25889959.15,388,Transport,Linköping,kontakt@företag2480ab.se
Företag 2481 AB,539923-4127,49830622.25,207,Bygg,Stockholm,kontakt@företag2481ab.se
Företag 2482 AB,412899-6892,15116498.5,19,Transport,Örebro,kontakt@företag2482ab.se
Företag 2483 AB,286419-6682,30036973.83,190,Transport,Västerås,kontakt@företag2483ab.se
Företag 2484 AB,370821-2356,5549399.04,421,Hälsa,Örebro,kontakt@företag2484ab.se
Företag 2485 AB,321681-849X,2628381.63,410,Handel,Linköping,kontakt@företag2485ab.se
Företag 2486 AB,901862-2551,39521527.18,331,Transport,Västerås,kontakt@företag2486ab.se
Företag 2487 AB,847563-7643,26244429.22,235,Transport,Örebro,kontakt@företag2487ab.se
Företag 2488 AB,315853-790X,40795785.21,3,Transport,Örebro,kontakt@företag2488ab.se
Företag 2489 AB,508288-518X,46699926.52,43,Bygg,Göteborg,kontakt@företag2489ab.se
Företag 2490 AB,476506-3844,12984901.3,177,Finans,Stockholm,kontakt@företag2490ab.se
Företag 2491 AB,159786-2261,49076990.95,169,Handel,Örebro,kontakt@företag2491ab.se
Företag 2492 AB,678219-6196,23351278.79,78,Finans,Västerås,kontakt@företag2492ab.se
Företag 2493 AB,334367-5524,19450098.14,29,Bygg,Uppsala,kontakt@företag2493ab.se
Företag 2494 AB,411705-3427,11869712.58,138,IT,Uppsala,kontakt@företag2494ab.se
Företag 2495 AB,507521-8062,21641851.75,180,Bygg,Stockholm,kontakt@företag2495ab.se
Företag 2496 AB,175103-1059,30086428.98,359,Bygg,Linköping,kontakt@företag2496ab.se
Företag 2497 AB,148734-1664,1189756.38,284,Handel,Stockholm,kontakt@företag2497ab.se
Företag 2498 AB,796680-9385,32566071.53,181,Utbildning,Uppsala,kontakt@företag2498ab.se
Företag 2499 AB,823030-5974,13079015.48,453,Bygg,Örebro,kontakt@företag2499ab.se
Företag 2500 AB,355777-2289,49326248.01,311,IT,Västerås,kontakt@företag2500ab.se
Företag 2501 AB,181985-9623,20411462.97,413,Finans,Göteborg,kontakt@företag2501ab.se
Företag 2502 AB,664796-6970,28886519.98,295,Bygg,Örebro,kontakt@företag2502ab.se
Företag 2503 AB,225107-2481,42286897.99,83,Bygg,Malmö,kontakt@företag2503ab.se
Företag 2504 AB,470726-4735,8952369.37,323,Handel,Västerås,kontakt@företag2504ab.se
Företag 2505 AB,304967-9981,18160846.17,92,Utbildning,Göteborg,kontakt@företag2505ab.se
Företag 2506 AB,480525-145X,30710591.03,257,IT,Uppsala,kontakt@företag2506ab.se
Företag 2507 AB,771864-5919,25575840.29,246,Utbildning,Göteborg,kontakt@företag2507ab.se
Företag 2508 AB,155798-7869,22965789.36,56,Utbildning,Göteborg,kontakt@företag2508ab.se
Företag 2509 AB,732243-8288,20383144.63,306,IT,Västerås,kontakt@företag2509ab.se
Företag 2510 AB,934833-6375,25606782.19,141,Bygg,Stockholm,kontakt@företag2510ab.se
Företag 2511 AB,821022-8231,956599.08,290,Transport,Malmö,kontakt@företag2511ab.se
Företag 2512 AB,672976-3197,24143044.46,179,Bygg,Linköping,kontakt@företag2512ab.se
Företag 2513 AB,177406-6835,4471342.72,166,Transport,Uppsala,kontakt@företag2513ab.se
Företag 2514 AB,859448-6483,43908773.98,258,Finans,Uppsala,kontakt@företag2514ab.se
Företag 2515 AB,394822-6217,15582221.26,430,Utbildning,Linköping,kontakt@företag2515ab.se
Företag 2516 AB,941066-8740,18314123.92,303,Utbildning,Västerås,kontakt@företag2516ab.se
Företag 2517 AB,332325-2013,8104047.05,9,IT,Uppsala,kontakt@företag2517ab.se
Företag 2518 AB,470585-6712,17320370.13,16,Handel,Linköping,kontakt@företag2518ab.se
Företag 2519 AB,661459-1410,2711968.38,423,Utbildning,Örebro,kontakt@företag2519ab.se
Företag 2520 AB,867328-6891,44502101.79,411,Hälsa,Göteborg,kontakt@företag2520ab.se
Företag 2521 AB,782635-7663,37440727.89,455,IT,Uppsala,kontakt@företag2521ab.se
Företag 2522 AB,957938-3599,42951115.99,340,Bygg,Göteborg,kontakt@företag2522ab.se
Företag 2523 AB,226458-4206,26446687.2,27,Handel,Linköping,kontakt@företag2523ab.se
Företag 2524 AB,484042-6083,31477664.92,417,Transport,Stockholm,kontakt@företag2524ab.se
Företag 2525 AB,570767-6648,44567341.5,319,Handel,Stockholm,fel@epost
Företag 2526 AB,746623-4386,10437827.02,128,Hälsa,Linköping,kontakt@företag2526ab.se
Företag 2527 AB,321009-3083,19280274.79,188,Utbildning,Västerås,kontakt@företag2527ab.se
Företag 2528 AB,785653-8058,26981105.02,40,Handel,Göteborg,kontakt@företag2528ab.se
Företag 2529 AB,983316-5395,28603718.69,39,Bygg,Uppsala,kontakt@företag2529ab.se
Företag 2530 AB,889033-5855,45780311.95,428,Transport,Linköping,fel@epost
Företag 2531 AB,794365-7645,45583042.58,433,Transport,Uppsala,kontakt@företag2531ab.se
Företag 2532 AB,910551-2944,47494272.59,246,Finans,Västerås,kontakt@företag2532ab.se
Företag 2533 AB,506862-9759,25280206.3,93,Bygg,Uppsala,kontakt@företag2533ab.se
Företag 2534 AB,199561-5531,1203622.57,392,Finans,Linköping,kontakt@företag2534ab.se
Företag 2535 AB,351048-7885,12187879.3,53,Transport,Stockholm,kontakt@företag2535ab.se
Företag 2536 AB,327974-4554,31081528.19,128,Finans,Linköping,kontakt@företag2536ab.se
Företag 2537 AB,425143-5041,7351856.16,500,Handel,Örebro,kontakt@företag2537ab.se
Företag 2538 AB,902002-3960,15352637.45,95,Utbildning,Linköping,kontakt@företag2538ab.se
Företag 2539 AB,307805-3959,37775473.33,129,Bygg,Linköping,kontakt@företag2539ab.se
Företag 2540 AB,924040-1767,17200402.41,153,Utbildning,Stockholm,kontakt@företag2540ab.se
Företag 2541 AB,631065-9144,15774111.27,86,Bygg,Västerås,fel@epost
Företag 2542 AB,465659-6146,26949098.47,365,Transport,Stockholm,kontakt@företag2542ab.se
Företag 2543 AB,107393-8714,8633569.98,323,Hälsa,Västerås,kontakt@företag2543ab.se
Företag 2544 AB,423059-6580,36850002.78,180,IT,Göteborg,fel@epost
Företag 2545 AB,430700-4136,23158034.19,20,Utbildning,Linköping,kontakt@företag2545ab.se
Företag 2546 AB,749533-6960,22567849.8,291,Bygg,Göteborg,kontakt@företag2546ab.se
Företag 2547 AB,388187-5166,41104053.5,131,Hälsa,Stockholm,kontakt@företag2547ab.se
Företag 2548 AB,840782-4350,27397859.06,219,Finans,Västerås,kontakt@företag2548ab.se
Företag 2549 AB,645629-4486,22261117.42,419,Transport,Örebro,kontakt@företag2549ab.se
Företag 2550 AB,771469-7483,46141900.03,349,Bygg,Örebro,fel@epost
Företag 2551 AB,216103-1075,2323109.71,358,Handel,Uppsala,kontakt@företag2551ab.se
Företag 2552 AB,995404-6332,20804831.7,419,IT,Stockholm,kontakt@företag2552ab.se
Företag 2553 AB,463964-8623,40138039.51,261,Handel,Stockholm,kontakt@företag2553ab.se
Företag 2554 AB,466963-3132,30803208.02,420,Bygg,Stockholm,kontakt@företag2554ab.se
Företag 2555 AB,758520-8037,27051441.33,466,IT,Uppsala,kontakt@företag2555ab.se
Företag 2556 AB,701087-7740,46397779.67,484,Utbildning,Stockholm,kontakt@företag2556ab.se
Företag 2557 AB,399186-7451,29390579.03,483,IT,Malmö,kontakt@företag2557ab.se
Företag 2558 AB,606136-9334,48621947.52,314,Hälsa,Västerås,kontakt@företag2558ab.se
Företag 2559 AB,309527-7598,37052849.48,38,Bygg,Göteborg,kontakt@företag2559ab.se
Företag 2560 AB,807503-5111,44600856.64,355,IT,Linköping,kontakt@företag2560ab.se
Företag 2561 AB,828307-4441,9126998.13,229,IT,Malmö,kontakt@företag2561ab.se
Företag 2562 AB,514429-1273,48484532.39,364,Handel,Uppsala,fel@epost
Företag 2563 AB,451932-3973,25566408.78,119,Handel,Malmö,kontakt@företag2563ab.se
Företag 2564 AB,694018-1930,22647269.86,322,Handel,Västerås,kontakt@företag2564ab.se
Företag 2565 AB,862588-9045,9342776.7,376,Transport,Uppsala,kontakt@företag2565ab.se
Företag 2566 AB,239021-9542,24859257.72,104,Hälsa,Malmö,kontakt@företag2566ab.se
Företag 2567 AB,326838-9353,15377691.73,298,Bygg,Västerås,kontakt@företag2567ab.se
Företag 2568 AB,948212-5427,42261614.09,371,Utbildning,Uppsala,kontakt@företag2568ab.se
Företag 2569 AB,128770-9983,11016765.31,292,Transport,Uppsala,kontakt@företag2569ab.se
Företag 2570 AB,801207-3025,25390674.48,491,Finans,Västerås,kontakt@företag2570ab.se
Företag 2571 AB,963313-5317,18755451.87,397,Finans,Linköping,kontakt@företag2571ab.se
Företag 2572 AB,957006-4807,47196553.08,187,Bygg,Örebro,kontakt@företag2572ab.se
Företag 2573 AB,838060-160X,20555045.64,302,Utbildning,Linköping,kontakt@företag2573ab.se
Företag 2574 AB,891701-8888,6096369.84,221,Utbildning,Malmö,kontakt@företag2574ab.se
Företag 2575 AB,175675-5638,9096152.1,256,Utbildning,Linköping,kontakt@företag2575ab.se
Företag 2576 AB,974966-512X,10419843.45,426,Bygg,Västerås,kontakt@företag2576ab.se
Företag 2577 AB,699638-9343,37984084.91,10,Transport,Uppsala,kontakt@företag2577ab.se
Företag 2578 AB,890135-3254,2648867.83,273,Transport,Örebro,kontakt@företag2578ab.se
Företag 2579 AB,954242-9492,2151438.17,138,Transport,Uppsala,kontakt@företag2579ab.se
Företag 2580 AB,216433-5293,15950194.47,246,Bygg,Västerås,kontakt@företag2580ab.se
Företag 2581 AB,105085-6051,37034395.85,72,Transport,Örebro,kontakt@företag2581ab.se
Företag 2582 AB,394943-1401,7027278.23,204,Handel,Malmö,kontakt@företag2582ab.se
Företag 2583 AB,259397-5372,22805434.68,237,Finans,Örebro,kontakt@företag2583ab.se
Företag 2584 AB,350495-7850,11253575.93,69,Hälsa,Stockholm,kontakt@företag2584ab.se
Företag 2585 AB,973494-3136,16748667.85,249,Hälsa,Linköping,kontakt@företag2585ab.se
Företag 2586 AB,265060-6494,4619304.4,179,Handel,Malmö,kontakt@företag2586ab.se
Företag 2587 AB,722345-430X,9181591.6,463,Handel,Malmö,kontakt@företag2587ab.se
Företag 2588 AB,141974-1495,21503862.84,12,Handel,Malmö,kontakt@företag2588ab.se
Företag 2589 AB,236167-2323,1176872.66,92,Transport,Linköping,kontakt@företag2589ab.se
Företag 2590 AB,558479-887X,49561165.91,160,Handel,Örebro,kontakt@företag2590ab.se
Företag 2591 AB,654244-2970,29145945.19,78,Transport,Stockholm,kontakt@företag2591ab.se
Företag 2592 AB,100815-6383,41433181.94,197,Utbildning,Linköping,kontakt@företag2592ab.se
Företag 2593 AB,661632-9535,44273922.94,105,Utbildning,Linköping,kontakt@företag2593ab.se
Företag 2594 AB,709578-9271,43920763.02,437,Hälsa,Göteborg,kontakt@företag2594ab.se
Företag 2595 AB,139506-1081,35505945.05,461,Handel,Västerås,kontakt@företag2595ab.se
Företag 2596 AB,536696-2707,47645550.89,216,Bygg,Göteborg,kontakt@företag2596ab.se
Företag 2597 AB,969499-121X,12010001.48,366,IT,Uppsala,kontakt@företag2597ab.se
Företag 2598 AB,314075-5799,882740.51,307,Transport,Västerås,kontakt@företag2598ab.se
Företag 2599 AB,193642-1575,6103931.61,41,Finans,Linköping,kontakt@företag2599ab.se
Företag 2600 AB,711131-5867,45506149.4,132,IT,Örebro,kontakt@företag2600ab.se
Företag 2601 AB,824985-9958,28659142.25,190,Utbildning,Västerås,fel@epost
Företag 2602 AB,644335-4805,19125115.33,369,Hälsa,Stockholm,kontakt@företag2602ab.se
Företag 2603 AB,589008-8980,47881105.67,454,Finans,Malmö,kontakt@företag2603ab.se
Företag 2604 AB,402938-8897,46311458.88,57,Handel,Linköping,kontakt@företag2604ab.se
Företag 2605 AB,772695-1452,11827459.94,497,Bygg,Örebro,kontakt@företag2605ab.se
Företag 2606 AB,667578-9426,4731209.92,372,Transport,Malmö,kontakt@företag2606ab.se
Företag 2607 AB,249354-7582,22313878.5,499,Utbildning,Västerås,kontakt@företag2607ab.se
Företag 2608 AB,515325-3203,28046174.09,288,Transport,Malmö,kontakt@företag2608ab.se
Företag 2609 AB,151902-987X,49747616.92,99,Finans,Västerås,kontakt@företag2609ab.se
Företag 2610 AB,237801-3633,38464347.86,164,Transport,Örebro,kontakt@företag2610ab.se
Företag 2611 AB,733562-2285,8710756.92,213,Transport,Göteborg,kontakt@företag2611ab.se
Företag 2612 AB,373350-6058,11547105.4,129,Hälsa,Malmö,kontakt@företag2612ab.se
Företag 2613 AB,231575-2256,42412625.94,221,Handel,Linköping,kontakt@företag2613ab.se
Företag 2614 AB,687379-1194,34382247.38,132,Transport,Stockholm,kontakt@företag2614ab.se
Företag 2615 AB,168536-8733,26518033.2,290,IT,Västerås,kontakt@företag2615ab.se
Företag 2616 AB,312258-5718,2020969.41,48,Handel,Örebro,kontakt@företag2616ab.se
Företag 2617 AB,626999-6556,1338904.36,104,Hälsa,Uppsala,kontakt@företag2617ab.se
Företag 2618 AB,827331-1108,24700855.37,175,Utbildning,Uppsala,kontakt@företag2618ab.se
Företag 2619 AB,260755-2123,22498833.15,219,IT,Malmö,kontakt@företag2619ab.se
Företag 2620 AB,253109-7120,25476984.13,23,Finans,Linköping,kontakt@företag2620ab.se
Företag 2621 AB,492385-2208,9039233.99,62,Transport,Stockholm,kontakt@företag2621ab.se
Företag 2622 AB,919190-6206,37956424.14,80,Transport,Malmö,kontakt@företag2622ab.se
Företag 2623 AB,778706-3011,35093079.82,63,Hälsa,Linköping,kontakt@företag2623ab.se
Företag 2624 AB,142341-8117,2670103.52,61,Bygg,Västerås,kontakt@företag2624ab.se
Företag 2625 AB,843971-8157,48624710.04,314,IT,Göteborg,kontakt@företag2625ab.se
Företag 2626 AB,867844-5410,41402596.95,205,Bygg,Malmö,kontakt@företag2626ab.se
Företag 2627 AB,519206-3793,35117403.28,46,Bygg,Västerås,kontakt@företag2627ab.se
Företag 2628 AB,305288-5726,31030566.27,63,Utbildning,Linköping,kontakt@företag2628ab.se
Företag 2629 AB,966823-5847,42925049.38,148,Utbildning,Örebro,kontakt@företag2629ab.se
Företag 2630 AB,508824-4141,16822269.2,49,Bygg,Västerås,kontakt@företag2630ab.se
Företag 2631 AB,343969-4198,39325837.58,119,Hälsa,Stockholm,kontakt@företag2631ab.se
Företag 2632 AB,227086-7295,24256487.22,27,Handel,Uppsala,kontakt@företag2632ab.se
Företag 2633 AB,402906-1131,33899862.4,36,Utbildning,Västerås,kontakt@företag2633ab.se
Företag 2634 AB,461945-7722,45583072.06,269,Handel,Stockholm,kontakt@företag2634ab.se
Företag 2635 AB,586635-2234,2965643.62,158,Bygg,Malmö,kontakt@företag2635ab.se
Företag 2636 AB,374888-1322,49329338.27,465,Handel,Stockholm,kontakt@företag2636ab.se
Företag 2637 AB,118170-7636,7107852.21,187,Finans,Malmö,kontakt@företag2637ab.se
Företag 2638 AB,103172-6055,20867535.12,313,Hälsa,Malmö,kontakt@företag2638ab.se
Företag 2639 AB,221255-1991,3685012.72,70,Handel,Göteborg,kontakt@företag2639ab.se
Företag 2640 AB,370788-7326,43225628.23,215,Handel,Örebro,kontakt@företag2640ab.se
Företag 2641 AB,454837-8271,31619686.21,368,Finans,Stockholm,kontakt@företag2641ab.se
Företag 2642 AB,954986-2103,20441429.62,114,Utbildning,Örebro,kontakt@företag2642ab.se
Företag 2643 AB,841067-5972,28211869.69,316,Utbildning,Malmö,kontakt@företag2643ab.se
Företag 2644 AB,359945-7154,4056593.54,392,Hälsa,Örebro,kontakt@företag2644ab.se
Företag 2645 AB,306807-9046,37294167.72,358,Handel,Göteborg,fel@epost
Företag 2646 AB,241496-2038,18076598.75,14,Hälsa,Västerås,kontakt@företag2646ab.se
Företag 2647 AB,847121-8373,46823298.95,248,Utbildning,Göteborg,kontakt@företag2647ab.se
Företag 2648 AB,561202-2841,45180069.67,477,Utbildning,Örebro,kontakt@företag2648ab.se
Företag 2649 AB,521017-1838,44908457.74,449,Transport,Uppsala,kontakt@företag2649ab.se
Företag 2650 AB,676184-9452,10304427.29,222,Hälsa,Uppsala,kontakt@företag2650ab.se
Företag 2651 AB,861769-2829,24609069.43,492,Hälsa,Göteborg,kontakt@företag2651ab.se
Företag 2652 AB,780918-5659,34843560.53,111,Finans,Linköping,kontakt@företag2652ab.se
Företag 2653 AB,907885-8344,23343561.48,309,Utbildning,Linköping,kontakt@företag2653ab.se
Företag 2654 AB,196653-4459,49208918.82,345,Finans,Malmö,kontakt@företag2654ab.se
Företag 2655 AB,207099-7661,37136744.67,315,Transport,Uppsala,kontakt@företag2655ab.se
Företag 2656 AB,650984-5402,37696546.47,104,Bygg,Stockholm,kontakt@företag2656ab.se
Företag 2657 AB,960025-5561,34017719.48,62,IT,Stockholm,kontakt@företag2657ab.se
Företag 2658 AB,682194-2937,30398309.37,328,Bygg,Örebro,kontakt@företag2658ab.se
Företag 2659 AB,749364-9639,18842254.27,185,Finans,Göteborg,fel@epost
Företag 2660 AB,740940-1364,29071264.42,111,Utbildning,Göteborg,kontakt@företag2660ab.se
Företag 2661 AB,600325-2097,19542709.36,377,Finans,Stockholm,kontakt@företag2661ab.se
Företag 2662 AB,453829-1663,24391590.93,290,Hälsa,Linköping,kontakt@företag2662ab.se
Företag 2663 AB,587949-4143,6452959.43,14,IT,Göteborg,kontakt@företag2663ab.se
Företag 2664 AB,333616-7192,31383588.82,434,Utbildning,Malmö,kontakt@företag2664ab.se
Företag 2665 AB,590353-5251,43986067.52,492,Hälsa,Uppsala,kontakt@företag2665ab.se
Företag 2666 AB,783916-7630,10453093.35,246,Hälsa,Linköping,kontakt@företag2666ab.se
Företag 2667 AB,866832-1972,4160087.65,254,Utbildning,Linköping,kontakt@företag2667ab.se
Företag 2668 AB,138387-3189,40084718.48,180,IT,Örebro,kontakt@företag2668ab.se
Företag 2669 AB,313528-465X,1714206.31,46,Utbildning,Malmö,kontakt@företag2669ab.se
Företag 2670 AB,110729-4753,23725145.07,170,Bygg,Malmö,kontakt@företag2670ab.se
Företag 2671 AB,851744-5029,25927771.44,18,Handel,Göteborg,kontakt@företag2671ab.se
Företag 2672 AB,530592-1878,23353665.74,326,Handel,Västerås,kontakt@företag2672ab.se
Företag 2673 AB,958670-3171,41123949.21,136,Hälsa,Göteborg,kontakt@företag2673ab.se
Företag 2674 AB,166757-3434,30367810.86,92,Transport,Linköping,kontakt@företag2674ab.se
Företag 2675 AB,637610-191X,14629086.51,47,IT,Göteborg,fel@epost
Företag 2676 AB,623814-9393,40653457.33,228,Finans,Linköping,kontakt@företag2676ab.se
Företag 2677 AB,111306-723X,11721259.38,339,Finans,Stockholm,kontakt@företag2677ab.se
Företag 2678 AB,346560-9239,1758397.88,137,IT,Stockholm,kontakt@företag2678ab.se
Företag 2679 AB,390126-1130,43365376.53,425,Transport,Linköping,fel@epost
Företag 2680 AB,592414-8672,27604241.38,38,Bygg,Göteborg,kontakt@företag2680ab.se
Företag 2681 AB,124926-5600,37784321.11,246,Hälsa,Västerås,kontakt@företag2681ab.se
Företag 2682 AB,428294-5977,443645.84,64,Finans,Västerås,kontakt@företag2682ab.se
Företag 2683 AB,171369-4514,29180895.07,143,Utbildning,Malmö,kontakt@företag2683ab.se
Företag 2684 AB,433800-1396,21520710.95,27,Handel,Västerås,kontakt@företag2684ab.se
Företag 2685 AB,113945-3253,31591323.25,21,Bygg,Örebro,kontakt@företag2685ab.se
Företag 2686 AB,748119-4440,33760280.59,397,Utbildning,Göteborg,kontakt@företag2686ab.se
Företag 2687 AB,183969-7842,27489276.3,66,Transport,Örebro,kontakt@företag2687ab.se
Företag 2688 AB,621556-3435,12882905.69,411,Finans,Göteborg,kontakt@företag2688ab.se
Företag 2689 AB,570887-6784,19417996.87,345,Finans,Malmö,kontakt@företag2689ab.se
Företag 2690 AB,748672-6298,4989729.77,381,Finans,Stockholm,kontakt@företag2690ab.se
Företag 2691 AB,707407-1240,7992811.65,298,Transport,Malmö,kontakt@företag2691ab.se
Företag 2692 AB,532581-2124,38918729.43,172,Handel,Västerås,kontakt@företag2692ab.se
Företag 2693 AB,335220-2790,36826275.58,447,Handel,Malmö,kontakt@företag2693ab.se
Företag 2694 AB,697303-3553,30225554.59,285,Hälsa,Örebro,kontakt@företag2694ab.se
Företag 2695 AB,841127-5500,15081915.22,107,Handel,Uppsala,kontakt@företag2695ab.se
Företag 2696 AB,544372-2873,17199332.83,145,Transport,Stockholm,kontakt@företag2696ab.se
Företag 2697 AB,112687-2173,37806669.67,351,Transport,Stockholm,kontakt@företag2697ab.se
Företag 2698 AB,805483-9924,1902395.01,275,Handel,Göteborg,kontakt@företag2698ab.se
Företag 2699 AB,108706-5614,31704729.7,170,Hälsa,Linköping,kontakt@företag2699ab.se
Företag 2700 AB,897142-5130,15208199.36,410,Hälsa,Linköping,kontakt@företag2700ab.se
Företag 2701 AB,870508-1835,7031772.35,227,IT,Stockholm,kontakt@företag2701ab.se
Företag 2702 AB,533985-5817,36733167.2,198,Utbildning,Stockholm,kontakt@företag2702ab.se
Företag 2703 AB,493530-3221,30210534.34,17,Handel,Malmö,kontakt@företag2703ab.se
Företag 2704 AB,208684-9493,1763198.48,441,Transport,Stockholm,kontakt@företag2704ab.se
Företag 2705 AB,815091-9390,8950884.4,20,Finans,Västerås,kontakt@företag2705ab.se
Företag 2706 AB,609362-6331,3896833.38,34,Transport,Malmö,kontakt@företag2706ab.se
Företag 2707 AB,946925-6309,38267744.88,349,Handel,Örebro,kontakt@företag2707ab.se
Företag 2708 AB,108646-3580,15494712.34,250,Hälsa,Malmö,kontakt@företag2708ab.se
Företag 2709 AB,137242-418X,40074673.67,351,Transport,Västerås,kontakt@företag2709ab.se
Företag 2710 AB,211098-5152,17127863.73,415,IT,Göteborg,kontakt@företag2710ab.se
Företag 2711 AB,283236-7411,24377220.29,163,Hälsa,Malmö,kontakt@företag2711ab.se
Företag 2712 AB,707690-2242,11393080.92,29,Bygg,Västerås,kontakt@företag2712ab.se
