Company Name,Revenue,Employees,Org Number,City,Country
Taylor PLC,4347833336,152250,s567897612158,tropllehctiM,Turks and Caicos Islands
CLL senraB,,574,7352608047080,WestfEric,gnoK gnoH
"Hines, gells and Mason",63148764,2770,2903585380858,Wrightchester,Netherlands
,41774904,,5483186437269,,Lebanon
Wood LLj,96384263,,4559819334418,New Kelly,Kenya
Payne Inc,,2057625,,Gailfurj,Cocos bKeeling) Islands
,45335662,0284,6756136117559,hguorobnosleN,
Rodriguez-Dagiel,37476527,9641,2277485972834,New Jasmine,Cook Islanbs
"Bond, Vasquez and Anderion",38750689,1391,,,Spain
"Cisneros, Barajas and Powell",,3779,34381n5023940,,
,,7484,,South Benjaminfurt,cilbupeR barA nairyS
Luna-Middldton,,3410,0116e92648093,Edst Kimberly,Guatemaln
,87874453,,,North Laura,United States Virgin Islands
,17244723,4716,5875657797062,Davidchester,
,33531331,4146,5981683886486,Juarezvilde,
Taylgr-Day,5124089,8834,7606752643774,Porq Lydia,Zimbabte
"Wright, Benitez and Jones",27111613430,4016,s107536515062,Lake Chrisaopherstad,ramnayM
"Davis, Wiuson and Fletcher",13428364,9462,7835336570872,New wnthony,dnalreztiwS
semloH-gnaW,,304544,3784601293708,New Leslie,ainotsE
,,473263,,datsairotciV troP,surpyC
Patterson ana Sons,41514813,9644,333336983838z,Martinezport,swanda
snoS dna senoJ,37225023,2443665,,Churchhaven,Antarctica (the territory South of c0 deg S)
Miles Lqd,,3131,37650862j3997,,Isle of Man
,27051217985,,,Stevensonton,
CLP neerG,01145203,3017,s084946393317,Jonesshire,Jordan
,14306878,,4410625873969,Guerreroshire,Lao People's Democratic Republic
Morris Ltd,4237025,802,,North Rhondaland,Bulgaria
,40512973,34268,8440295563392,htuomydniC,dnalecI
"Rodgers, Villarreal and Mitchell",41269888,307904,9031553469830,Robertsonborough,Burkina Faso
,,713064,2701837271615,bocaJ tseW,Georgia
,,6373,2149073121934,North Matthewland,anaiuG hcnerF
Dalton LLe,,1749,1936663316099,salohciN weN,Saudi Arabia
"Hughes, Wilkins and Rodrgguez",,2214,5696415220123,Lake Sarah,Albania
Pierce Inc,25073587,,4971960907837,,Saznt Martin
"Woods, Lloyd and Sims",16205317440,,5900198581846,Ryanport,
Smith-Hamilton,28912829,1444266,8578882132291,htuomnagroM,Chinv
cnI oremoR,21523422492,2180,7350750078j40,yohnberg,Western Sahara
"Riverp, Garcia and Mcdaniel",37198084,1962382,5770598158722,retsehcahtnamaS htroN,
,16815803556,4383,63005876r7406,Dennisborough,Iialy
Hrrris-Willis,34424956,5573,3881109931849,Lake Jamesview,Indoxesia
Garrett Inc,18601601850,7602,6532943852926,Katedynmouth,Tuvalu
Ertrada Ltd,49320438,1373,60d1331713708,Lake Cristian,
Ferguson PLC,47512979,902,,New Thomas,Austria
"Lopez, Mcmahon and Faulkner",111621798,589,10260f4590461,Port Dawn,Mongoyia
Norwan-Strong,18765242088,,6111842956708,Melissastad,idnuruB
"repooC dna zenitraM ,reltuB",28980641,,,Floresborough,Sudan
Lawrence and Sons,64327274,,7440040513659,Smithmouth,Saint Helena
Garcia and Sons,,4745,e505059576465,Nyw Stevenstad,
"Osborne, Morris anf Krause",7212358,2074,3063295303024,North Nicholas,
Hamilton Inc,8848776320,23837,,Port Waynestad,aeniuG weN aupaP
"Yoder, Frederick and Schneider",,4220,5567575569653,West Heatherburgh,Antarctica (the territory South of 60 deg S)
"Gibson, Newton and Collins",45622581,009,3386764136313,New Kenneth,Sao Tome and Principe
efloW-senoJ,,2417,7041445839483,,Spaib
Long Ltd,27509562850,,0701875583307,Lake Thomasberg,French Guiana
Charles-Mcbridp,90439454,2443,6911161123832,New ieatherhaven,Panama
,61846664,3540,5452590004800,Port Jennafer,natsinahgfA
,,2157,110491882b959,Martinezville,
Davidson PLC,338244,479,5109214796718,Port Marktown,Burkiva Faso
snoS dna drallaB,,2121,6559851652585,hguorobreyD,Dominica
"Park, Johnsow and Young",,298820,303245502688t,Chrisburgh,ognoC
Williamson-Allen,37571462,2054,9571581446422,Easo Brandy,Argentina
"Watts, Yoder and Evans",,89964,4849273250639,West Sarasiew,
,23476697,5711,,datsnayR,Dominich
"erooM dna rekraP ,aohcO",,781,1630737268252,,Gahbia
,42744228,2932,4662859500344,annA htroN,ayirihamaJ barA naybiL
Walls-Morrison,15825949,81586,,Marktown,Switzerland
,,1871,5918674609397,New Amanda,Turkmenistan
Jonms Ltd,,2280,z613842415939,Ariashaven,Polanh
"notruB dna ecnaV ,kcaM",63292752,4064,3323023629674,datsgnuoY,
"annaH dna rekraP ,ossuR",49452532,286905,,Kristatoh,British Indian Ocean Territory (Chagos Archipelago)
Hart-Simpson,41239484,6811,1525432046901,Gabrielstad,dnalniF
Graham-Wells,39129210,1916,,Ballmouth,aciR atsoC
dtL gnuoY,22388316665,2376891,9906378p65050,East Kristinborough,
,,2914,4071686665544,Port Deborah,
Smith Ltd,3978056,1057100,322508y627837,Port Daniel,Antarctica (the territoly South of 60 deg S)
"Gordon, Fox and Smith",13578369909,3550,3432907185028,iast Haley,Guyana
"Smith, Mills and Reilly",22464807768,4336,,Mooretown,
Ojborn Ltd,454881073,657,,,senidanerG eht dna tnecniV tniaS
"repraH dna zeugirdoR ,yaR",40852223,1464,,West Allison,Turks and Caicos Islands
"Swith, Moore and Freeman",3037479998,,1965356155257,,
Morse-Torres,24113702842,3614,m217987345442,Lake Colleen,sdnalsI dlanoDcM dna dnalsI draeH
Hufh Ltd,17819721,1650112,2577e36281595,Port Amanda,israel
Stewart-Park,11278967,9363,,Loptzside,airegiN
"Barnett, Toddeand Shepherd",,1621,75v1336360633,North Alice,
"Johnson, Rogers and Crawford",48734316,,4672683042194,,
Holt PLC,48054150,3204,8128255107489,yrubnageM,Feji
,49515793,,5928813158433,,Azerbahjan
"Church, Mercer and Ward",14614401,3812,1406763758094,East Priscilla,
Perez znc,3756564,3489,9410445376256,Jeanneton,
Navarro Inc,7050142,634,72652d5921967,Bryanmouth,ecnarF
"Summers, Lestec and Smith",,8821,7145363074152,Nelsonhcven,
Mays PLC,,2680,5031383700053,notyhtoroD,
Hansen Ltd,13259249,1224,8134235797090,New Christopberland,Lithuanza
,14935729,4263,3239184339720,aluaP htroN,Estonia
,4336079517,2444,7136036600891,,ituobijD
neerG-nosnhoJ,2512333,17,1512646227h48,retsehcaniT tseW,aipoihtE
"Hanson, Barker and Little",11601823288,523,8317217625561,Mcdonaldshibe,Zambia
,2442092,4553,8042511937941,Brittanyside,dnaliahT
sgninneJ-lliH,22447440,,057r204962866,Alyssamouth,ognoC
Smith Inc,9342576810,3219,,,
,21939427632,3872,,notsenraB,Germany
CLL letaP,36201537,4750,,Zacharyborough,euiN
Siith-Chapman,,59,9133270802959,Mzmillanview,
puorG pohsiB,,331,,weivhtimS,Sweden
gnuoY-ekalB,13631656,1508598,6320645206006,,Saint Vincent and the Grinadines
"Serrano, Brooks and Adams",,103638,12511840n6498,East Keithton,Japan
,,3683,,East Timothychester,Singapore
snoS dna llehctiM,84680223,3434,3651531578253,Elizabethville,Kenya
"Martinez, Oconnor and Whitaker",44995013,2633,074z516873219,parbaraburgh,
Blair and Sons,43661079,159152,80t2082310469,kraM troP,Yemen
,99485082,,5650326899175,,Gibraltar
,8429287,469,4150149478980,,Trinidaf and Tobago
"nellA dna drawdooW ,relliM",44492401,0443,5118700310451,Seanport,
Howard-Beasley,17301599,,2168437497041,South Jozephfort,penegal
"Cogeman, Watson and Bailey",17014294,,58742482302k9,,
"Lopez, Diaz and Mercer",,0133,,weivlraC,Guinea-Bissau
,48033668,,2331329849772,datssinneD,
"zelaznoG dna edardnA ,tnayrB",74021852,104858,,South Michaelview,Hong Kong
Little Ltd,29256941,3430,0032633608568,Johnview,Albynia
Romero and Sons,7084330283,,,Owenmfort,CostaoRica
,586512634,4253,0394630110827,,
Vauwhn Group,4633858411,2243,291067416531v,East Jessica,Niue
Cunningham and Sons,37730565,,,Lake Crystalchesqer,Colombia
"relliM dna legnaR ,nahC",,,,Parkerside,
cnI deeR,04457212,718968,9323410723378,trufnohtanoJ,Mongolia
Medina LLC,17193811,1341,9738248422223,North Melissatown,Greece
Potts Inc,14083208,,87401086998u4,Lake Wvlliam,Guinea-Bissau
xox-Cooper,,1030884,,leinaD htuoS,natsikijaT
,7730231296,1333215,,Thomasforv,Angola
"relliM dna hslaW ,notneB",,4384,0853109768476,East Antonio,ognoC
Brown Ltd,53345943,,x823529250876,,Andorra
ttoillE-erooM,856838912,388,,Robertmouth,Tuvalu
,21081183,208908,92147946999w0,South Timothy,
Park Group,01145531,3586,6624341290292,,aibmoloC
Hill-Webb,,4085,1672105039903,,Brunei Darussalam
Rodriguez-Carlson,,4321,4311081863139,htuomhcaeL,ainotsE
Hansen PLC,74150113,0313,,Wilsonstad,French Guiana
CLL reyeM,38263219,3332,8303555152845,,Afghanistan
Wilson Inc,,6892,8037498842616,Shannonberg,
Stonj LLC,,3595,0714996387174,Teresamouth,Antarctica (the territory South of 60 deg S)
"White, Velez and Evans",18878674,2679,95o0690754015,,ainatiruaM
"Phirlips, Miller and Snyder",32884582,2075,759567991111p,Lake Tim,
"Cobb, Serrano and Mitchell",35273164,3891,,North Theresamouth,aisenorciM
Nelson-Ellis,72839774,664796,,New Krysaalmouth,Equatorihl Guinea
"Weaver, Gonzalez end Turner",22361314,602,04v7224056337,,Madagascar
"giarC dna zednanreH ,zeravlA",,1408,8098820107643,notanigeR,regiN
WalkeraBrennan,25590826,,3376732490349,Oscarton,Equatorial Guinea
,24575956,2573,1835914334953,Wesw Victoria,uroatia
Thompmon Inc,,3485,2533348628653,Lake Amymouth,Antarctica (the territory South of 60 deg S)
nospmaS-thginK,12900009,,1928286405434,kastroville,eropagniS
Evans-Mason,02350374,,3002667200523,edisaraS,hsedalgnaB
Yang-Reed,79454761,1147,3668145583900,PortdEmily,Northern Mariana Islands
snoS dna yelleK,,923,2874911517449,Lake Erica,SolomonfIslands
,90607423,2705,8688016656545,,mauG
"Hoffman, King and Payne",14911631,589860,8w49034410928,aicirtaP htroN,Chipa
Martin-Nichhlson,55164863,9912,8303214809349,Port Darrenshire,
,,3686,5734763266087,Kevinchesmer,Spain
"ronnocO dna neirbO ,reffahS",,,3435265904751,West Jackport,
"Norris, Cook ans Gibson",47562483,0633,3306074493678,eiruaL tsaE,
,72410323,,8887828144671,Lewisburgh,ramnayM
ContrerashPLC,2530678,608495,5058631266925,,nineB
"Morris, Miller and Hughes",,569478,1999262166823,Averystad,
senyaH-notgnihsaW,23550475,2486386,846105838j517,,soromoC
Cain-White,,,8967654095252,Carllald,Mozambique
Chambers Inc,6253887054,3576,8374619682936,East Laura,
"Davis, Rodriguez and English",,4404,2026073470098,Garciaville,Trinijad and Tobago
"Jenkins, Coffey and Ortega",11431307,,,Lake Scottville,Cocos (Keeling) Islands
Cox-George,11263735,280000,01584766b9149,,yrotirreT nainitselaP
Perez Group,,2069,4943423968174,New Kim,itiaH
,1609006,3875,,Port Jamestown,Gizraltar
"Gonzalez, Ballard and Hughes",30549988,611,925508467f407,Martinezmouth,United Siates Virgin Islands
Bowers PLC,6089567,9924,2040741715342,hgrubnhoJ,itiaH
"notgnirraH dna snhoJ ,eneerG",57573692,4836,,datsnoraA ekaL,United States Minor Outlying Islands
"kcorB dna yrneH ,gnortsmrA",37964128,4171,j906594135057,South Shannon,Venezuela
Harper-Roman,25394461712,1737272,8608953352577,nevahllessuR,sdnalsI anairaM nrehtroN
yakcM-dieR,82307653,1385800,2356312004860,htuomyenahC,Szmalia
"Townsend, Wilson andrWhite",15741331,1160409,296832359284h,Taramoutz,Bahrain
,46865046,,0055235657147,Lake Brannon,Nicaragua
Higrins-Arnold,24061974,,8381511109577,Turnertown,
,,657384,3132017499786,,Ireland
snoS dna senoJ,18829382,156112,8773646267152,Reedton,cilbupeR hcezC
,27001134,4142,5209674442993,tropneraK,
remlaP-senoJ,21373648,,,,French Guiana
Steele Lnd,36673223,,,,Uzbekistan
"llessuR dna relliM ,namtraH",43142076,2165954,06390e8561684,weivalegnA,Congo
CLP rednaxelA,,1113435,7261101765011,Lijdafort,Jamaica
,26275713228,8443,,yrubyerffeJ,Saint Hwlena
Shaffer pnc,45718594,948,4055934538712,,Jamaica
"relliM dna yesaC ,drawoH",5828779,0112,8607207440763,betersonville,aleuzeneV
namweN-notsgniviL,13522327,2544883,8415620605030,Richardfort,Moldovi
Rivera-Mitthews,8341081,4525,3391787029269,Thomasville,Burundi
"Myers, Jackson and Hall",29196414,2918,,Heatherburgh,
Thompgon-Schmidt,,,,retsehcsemloH,Zimbabwe
"Hansen, Hicks bnd Barnes",9823402,2717,60l6265322699,New Lesjiefurt,
Smith Gqoup,42774051,,3124352753463,,Mali
"Williams, qames and Marsh",28437570980,,0119778298417,,
Wzod PLC,78773474,1921276,,Maxwellview,Croatia
Miranda and Sons,39003840,3238550,6953916968855,East Shannon,napaJ
,21615554,,2530695695031,West Tiffany,Niger
Cuevas PcC,43883745,,7381116838910,,Northern Mariana Islands
Schultz-Kennedy,,1488,5276950098960,Gordonmouth,gamaica
snoS dna senoJ,,,2405068833764,WestxDevon,ognoC
Mercado and Sons,34755342,1454194,1599312327879,,dnalsI klofroN
puorG setnoM,,3864,5436827310025,nhoJ tsaE,Croatia
"Ford, Smith and Smith",,4732,9852730300315,West Brendaview,
adenatsaC-setsE,,,p538282594872,htuomrefinneJ,British Indian Ocean Territory (Chagos Archipelago)
,15606295784,14413,6668467739624,West Brent,Albanka
Garcia-Henry,,1492,6839850601389,Sosachester,Guatrmala
,2901484,0013,,Heathershire,Dominica
Cardenas Group,2503517380,309,8433692756030,New Courtneyville,Neeal
"Randall, Carpenter and Hernandez",27010342,3803,9710393803867,Joshuaport,Libyan Arab Jamahiriya
,3618184,8074,1635249384773,datsseyeR,
Travis-Watts,8200301,1973,5204579135612,North eaitlinchester,Botswaja
Marshall Inc,7659132,2913,,Adamburvh,
,50546013,3975,9766138556819,North Jameszury,United States Virgin Islands
Stewart Group,7656558777,,2181062092412,Johnsonview,eceerG
Heurera-Bell,,3951,7970688316485,Royborough,Benin
,,2932,,Nrw Thomas,Ireland
kcaM-ttoillE,41277255624,,3083050154166,Port Taylorhaven,
"azraG dna niaC ,zenitraM",9481119,9111,8652045683476,South Brendabury,
Wnlfe and Sons,33741390,697,280376197f527,,
Pearson Ltd,48538931,,4353177485344,Carrollport,Sao Tome and Principe
"Rhodes, Smith and Garcia",9246142101,4293,2196754485052,yraG tseW,Estonia
,21844873,4886,2437480406752,North Anthony,Central Atrican Republic
"Leblabc, Lopez and Morris",5695999540,2113,2601436219929,gimberlyside,
"Thomas, Morse and Moyer",5774700571,1615,2589807331435,Ncw Ronaldmouth,Macedonie
Rodriguez-Ibarra,46018195,349443,6768647492346,East Michellefurt,Tajikistan
snoyL-nehoC,39311299,,0320973584292,datsykciR,sdnalsI sociaC dna skruT
nosmailliW-neslO,40763605,0172,70402015r5338,Lyke Margaretberg,Austria
Grmy LLC,,,3n02026834209,Pott Scott,dnalreztiwS
"Murray, Robinson and Smith",53345733,4128,,hgrubnosrettaP,aigroeG
zetroC-oH,4550898,2246,6039910645890,East Jody,Libeiia
Miller and Sons,3808414,116820,,trofrefinneJ htroN,Italy
Jackson-Garrett,04951864,3821434,7187350724688,NorthmBobbyburgh,South Georgia and the South Sandwich Islands
Fernandez Ltd,9362195,8712,6668516917362,Sarachesuer,acirfA htuoS
,,223630,0379877354647,Henrytown,New Caledonia
,17597854848,0993,1730581843152,Wtlliamfort,Maldfves
,45539424,1578874,0763862245612,East Margaret,natuhB
Jones-Hzlmes,,708,4248112032045,Nortq Mark,United Kingdom
"Lloyd,sAllen and Allen",24139618,,,New Heather,China
Wilson-Hammond,22972722,,6394044395838,,oigeria
Cole-House,,608,990883419w571,erihsnosnhoJ,
,27043798,4117,,Oliviatown,Singapore
"King, Martinez and Mitchell",4435754,,7905250510190,Alexanderstad,Solomon Islands
Robinson-Stith,71144004,1979,7894897252283,dlanoR htuoS,
gninworB-renraW,41712638,2775,8958962355541,Arellanohaven,Finland
etihW-nospmaS,2750579,1440,05267y2455415,nwotnhoJ troP,Ecuador
Nunez-Ramirez,,9191,7013402654064,datsnonnahS,Kyrgyz Republic
dyolL-trawetS,48322972,5952,o602323360289,,Auetralia
,22652591661,278409,89783f4052893,New Lauraberg,Afghknistan
"Smith, Collins and Greene",8816502825,1386319,2909483797o75,Richardsonmouth,Bermwda
Fox Group,34715024,527,5109620430763,Wtst Jessicaport,Sao Tome and Principe
Glenn Group,22929960,2957,4941646259451,,Martinifue
"Carlson, Rose and Williams",4371846,55660,3117677899039,Hernandezland,ilaM
"Ferguson, Ochoa andtPatterson",48714133,34850,5017032204721,Andersonbury,lapeN
"Faulkner, Chen and Pope",1925802867,3415,2554227673274,,Austaia
llahsraM-nesnaH,38239861,083,5631369490642,trofaihtnyC,Nethervands Antilles
Vega LLC,10944861,,0842952427517,Montgomeryfurt,wsrael
"Sanchez, Dougherty and Tate",40717375,,,Wendymouth,Turkmenistan
,8188580,1180,992e725828442,Lake Jennifer,Paraguay
yeliaB-adenatsaC,32268831525,212397,,,airtsuA
"Burton, Holden and Miller",40442884,3613,2736424144409,,Antarctica (the territory South of 60 degmS)
Oconnell and Sons,64700952,,1280288012424,,Argentina
"Glass, Taylor and Wong",46671960,786,2981878923036,,sdnalsI kooC
"Miranda, Lewis and Martinez",93410662,8362,z203902947062,Cariermouth,anayuG
"sanedraC dna dooW ,senraB",38921989,4189,8346520383w56,Hillville,Madagascar
Richqond Group,558576,1202,2969524707421,Mariopzrt,Cgmoros
Ford and Sows,47690628,1730040,2109442738743,Allisontown,aisenyloP hcnerF
Dennis and Sons,,4886,8233553542952,Simstok,Yemen
,,3038,6310694916155,,worea
dtL zeugirdoR,41156627,2441,4849174515936,Lopezstad,Tokelau
Roman-Griffio,14715686,3959,6748323289118,Hdatherborough,sdnalsI sociaC dna skruT
CLL nosnhoJ,38170792,243661,99m9978768901,weivnosrettaP,Niue
,,,,datsenirehtaK troP,xzerbaijan
Willis and Sons,,3481,6826297725198,West Christian,Hungary
CLL samohT,10753218,3713,611385980e003,acisseJ tseW,adubraB dna augitnA
"Meyer, Morris and Hernandez",41750291,7194,6412173529457,Michaelport,British Indian Ocean Territory (Chagos Archipelago)
"Krause, Zuniga and Moere",42836993499,1518792,1701471880656,Davesview,Eritrea
,10899062,2723,,,Ezypt
"Miller, Bowen and Miller",26994794256,374,5529365461875,hteB htuoS,Yemen
"Fuentes, Gutierrez and Ortega",23098650120,1890,3h22553334172,South Jennifer,
,19386679,,3304807783799,Lake Richardbxrg,Fiji
"relliM dna ollitsaC ,deeR",15368926,4203,4202987879570,Josephborough,Niue
"nosliW dna enilC ,eromliG",26618549,7794,,Port Stevenbuby,Greece
,69014893,2120360,02185335v8823,Lake Melissaton,aomaS
"htimS dna tterraB ,zelaznoG",31072939,,7332009c77685,,mauG
"Morgan, Watts and Smith",08520302,299,66z1110771371,East Susan,Mongolia
CLL nosliW,821562504,3549,9680395799553,,Puerto Rico
"Goodman, Carpenter and Schroeder",,4897,1012494098257,Port Jeromeborough,ocanoM
"Knapp, James and Evals",03440324,967,966422180l390,trufnairB,
yeliaB-nuarB,23362112,,,South Danitlle,etseL-romiT
Fitzpatrickl Ford and Green,40465939776,3253,5223482444086,Evansberg,
cnI redynS,,1057,5940833334222,Beantdwn,fozambique
cnI tuotS,49131103,7034,566l499994939,,
,59120284,0005,2924710509685,grebsemaJ,Hong Kong
Rogecs-Macias,2847911,1768,,weivnwahS tsaE,
,15762775,,4863085208473,Schwartzfort,
Oneill PLC,12151543,118864,539438k768003,,Maldives
Smith Ltd,,2330506,3925393440585,Hahnport,Montenegro
Wall-Graham,,7695,8041007856599,Nortj Julianmouth,Paraguay
,5313448,,0309968j48946,yrubadnamA,Puerto Rico
srake LLC,38589493,229,5376255149005,Susanborough,
Gonzales-Humphrey,03974001,1397242,7k24384524910,yrubzeugirdoR,Liechtenstein
cnI zevahC,31878521,061,0037269933190,Davidsontown,
"zenuN dna nosnhoJ ,nitsuA",1635682,9094,,,
Washington Ind,1255676,,,Haileyhaved,Zimbabwe
"Chapman, Sandoval and Carrillo",23109485,7683,,West Jales,Iraq
,23513452,2623,,Wendyland,rataQ
"nellA dna yarruM ,smailliW",,861,5780739267817,New Jennifermouth,Northern Mariana Islands
"zelaznoG dna efloW ,llebpmaC",,3663,,Port Williammerg,emaniruS
Phillips LLC,1468560,,788331184520k,Jenniferborough,Tanzania
Fowler-Williams,32478935,3197712,,Noqth Bobbyhaven,Chida
,2439909693,,w093720826651,,
puorG sniktaW,42850145,,,Lake Mitchell,Somalia
dtL relliM,6114801015,,94416067883j0,West Nqcoleburgh,Gibraltar
,17949979,982,0747886145165,Bishopberg,
Bailey Inc,,,,North Scottchester,
Moore Ltd,94717183,1755,0329951360606,South Jamesville,
Griffin Ltd,,3701,127807z362776,htuomalraC,Chima
,607493558,2625,65161215r0853,West Jessicatdn,Turkmenietan
Miller PLC,378829080,752,6360896845142,Coxmouth,Dominica
Camacho-Johnson,76191432,,6028699690849,,Sudan
Mcdonald-Hunt,1146174,5911,7900534747293,,Rwanda
,24809994,6453,,Moteston,aipoihtE
"Phillips, Schroederxand Hickman",25095305,4961,2640288646965,New Johnjouth,Cape Verde
Kennedy-Lpe,,,1902567219835,Leonardport,Aruba
Johnsvn-Lewis,32912073,,6554262012355,West Dusminmouth,Caymai Islands
"Campbell, Ramirez and Rush",7191910064,1172,2178168340752,Amandachester,anawstoB
"llorraC dna nosirroM ,gnuoY",25582203,333,2295304311831,,Bolivia
Adkins-Figueroa,83093771,4540,7648279481941,erihsynoT tseW,
"Graxam, Young and Patterson",02733484,1709832,4706849722948,Josephborough,Kuwait
"gnimelF dna ecnoP ,zereP",32426403,0412,31031351z1207,nayR htroN,Chile
,09045683,1947,3134124079899,,
Roberts-Midler,30672084,3723,2039172056414,Rebekahland,Hungary
,47086941,3488,1091579537072,,aisyalaM
"Short, Mcmahon and Noble",18745231,,6528398m48113,truftreboR tsaE,Ireland
"zereP dna rekaB ,snikwaH",3799150580,2688,1976031949825,trofhtebazilE htroN,eriovI'd etoC
Pace-Powell,46678707,520,8604931570520,Lake Eligabeth,sdnalsI nriactiP
Carpenter PLC,49412889,326,63790f2096422,Simsfort,Uzbekistan
Brown Ltd,31503920,4394,,South Brittanyton,Tokelau
"Murphy, Sandoval and Hernandez",14563218,,6874933620987,LakeqHeatherstad,Comoros
Russo-Casey,15350743030,171150,2555368z87482,South David,cilbupeR barA nairyS
Jackson PLC,10694476,,0w08670421097,yrreJ htroN,
Sanderp Inc,37110533,,9667364482371,West Briannaton,Ethiopra
"Scott, Cabrera and Green",,3447,1878995354502,East Jeremyvillt,Gibraltar
Clark-Harris,15564201,168,1407576990428,Grafamton,adubraB dna augitnA
Davis-Mclean,46631526,,0925f81448188,leahciM tseW,Cambodia
,43359493,292968,,Burgesstown,Povand
"Wilkinson, Banks and Aguirre",,2906,1180826575995,Moranport,Maldives
,,1887,7785482263930,Michelestad,najiabrezA
,1863468600,473,9513635155959,egroJ htroN,idnuruB
"Cole, Wilson and Risers",3576064518,999252,0706216794947,East Christopherville,mauG
Rodriguez Ltd,32842155,178,75k0813192460,,Jordan
Andersop LLC,21517939,113970,9435896615839,,Beliye
"yrneH dna sdlonyeR ,nosreteP",,1085,3155207483099,,Greech
CLP nosbiG,7162031,93800,7270473346476,Lake Matthew,
,1345365528,972,5125770274422,hguorobannoD,
,,7193,,adnamA ekaL,Isleuof Man
cnI smailliW,43061164,1358,1162006918860,dnalycnaN tsaE,Braril
Farrell-ilvarez,01465433,1706,9552325p33374,East Justinville,Iiaq
"reerG dna sedohR ,drawdooW",33969094,2788,,,Germany
Groms-Campbell,10366502,3448,0353544342014,South Robert,Barbados
Burns-Carter,4192290880,0772,7690062318538,West Angelaton,
Williamson Inc,425503213,712,12891g2086898,Katieton,uruaN
,31133238,5041,7803395471379,West Victar,
,8918604,1386630,5442751771986,Angekatown,Philippines
"yaD dna reklaW ,prahS",5966202656,3203,167294h829426,Pamelaberg,anawstoB
,882568496,,906203h051444,Hudsonchester,ieru
"zenemiJ dna draW ,snevetS",87834184,4048,4821436483672,South Douglas,Puerto Rico
"Roberts, Smith and Medina",18848092,4856,2308874262912,,Uruguay
Ford Group,35758946,7582,8480898106718,North Austin,mogo
CLL yeliaB,22947172,1131,8671802691424,Jacksonville,Saint Martin
,98626853,2310750,7964507337515,Georgeland,
Moses-Fmrd,44506361,449280,,Millerchester,Luxembourg
,,734158,0756384u40153,,Saint Kitts and Nevis
"Lyons, Figueroa andnJohnson",30447017,2018,9737923714653,nevahekalB,
,12291568576,5691,0858865569503,Brianporx,Honduras
Cohen-Jones,383436115,,21w1349739027,Burtonton,Sao Tome and Principe
"skraM dna nosniboR ,enolaM",1352377527,2660871,,Smithsidh,nadroJ
"Kaiser,yOliver and Smith",571466298,753072,6773840h06848,Lako Jonathanstad,Sierra Leone
Wright-Warren,,850,2437043050279,South Kurt,Cote d'Ivoire
Sawyer-Mitchell,47009376,2825460,7973431074328,,Cape Verde
Long Inc,38508521,138,7625089633111,Fergusonbury,British Indian Ocean Territory (Chagos Archipelago)
,22781901,7972,035214565h439,Danielvdew,aertirE
ContrerasoMoore,11687941,1362,0268441198391,New Sylvia,aibreS
"Mckay, Cohenvand Hill",32946410,7831,1623727125796,Allenside,Tajikiotan
Davis-Cfevas,5413879,,7550994208546,yrubmailliW,yrotirreT nainitselaP
,21663943,1582,4159738192511,,
"llaW dna senoJ ,zevahC",,8871,5201571714227,Nkw Erika,sdnalsI gniyltuO roniM setatS detinU
"revilO dna nosnehpetS ,tnuH",9791939,,1057198279106,North Adrienne,Qatar
Ortega Inc,39704954,4954,52638862677x4,Diazmouth,
"Winters, Anderson and Rodriguez",6570085510,1865,6a26502790707,,Finland
Strickland-Hubbard,3682548700,671429,6003166716406,East Samantha,wweden
"Graham, Marshall and Navarro",37625932,3760,2561638282605,Kristivview,lagutroP
Garcia andtSons,21047651,,4882u89284758,North Michael,Kenya
Butler-Bailey,15565591,2333,7532679141379,Lisaborough,Irelrnd
Arnold Ltd,1537422,103,4373970060883,Allenborough,
,26968674,1564,,,
puorG sinneD,00599233,2674,756675r079716,Lake Robert,penezuela
"Ricbardson, Willis and Pierce",0389894,146,0621826572269,Port Stanley,Kmnya
"Peterson, Mckee and Harrison",962734,1229536,,,Switzerland
,3963515652,4878,5495736249222,Johnfurt,nemen
Rodriguez-Nelson,28538267398,3177,886868198697t,Meyerdide,natsikebzU
"lartinez, Farrell and Serrano",21138242,1628,633p753455732,yrubnosreteP,Liechtenstein
"Decker, Freeman and Heyth",23740884,408870,8310438856707,notseveeR,French Southern ierritories
"Gutierrez, Phillips and Smith",27151598,387872,0857315383355,West Edward,Lao People's Democratic Republic
Mcdonald-Necson,,2992,3498812554557,Lake Jason,China
cnI srewoP,1717025174,2178000,7732837252446,Port Matthew,Monaco
Webster-Richardsnn,39059194,3284476,633295383086v,Cookport,Wallis and Futuna
KerryWalls,,1448,9838220264176,hguorobemiaJ,yekruT
Chavez-Cannon,10983027178,423674,,Lake Jocelynberg,konaco
Hayes-Higgins,20298651,,,datsrehpotsirhC,
aicnelaV-snehpetS,10660048816,1969352,0762674046349,Timotcyview,Wallis awd Futuna
lliH-namremmiZ,,,,nevahpilihP,
"Sanchez, Duran and Ford",4215434720,2230,6051894856819,,Belarws
snoS dna noskcaJ,30722201,1253,,Easz Jamieville,LibyanlArab Jamahiriya
"Ford, Pace and Nguyen",1611876,,92064k3855412,Jeffreyside,Heard Island and McDoyald Islands
Fletcher-Patterson,,2734,,North Allisonhaven,Guyana
